solver,jobs,elapsed,value
CombinatorialBnB,1,1.3650000028064824e-06,
GurobiSolver,1,9.88000010693213e-07,
CombinatorialBnB,1,9.179999551633955e-07,
GurobiSolver,1,3.6600000612452277e-06,
CombinatorialBnB,1,3.193999987161078e-06,
GurobiSolver,1,1.562000079502468e-06,
CombinatorialBnB,1,1.152999971054669e-06,
GurobiSolver,1,1.2219999234730494e-06,
CombinatorialBnB,1,9.420000424142927e-07,
GurobiSolver,1,1.213999894389417e-06,
CombinatorialBnB,1,1.7570000636624172e-06,
GurobiSolver,1,1.2840000636060722e-06,
CombinatorialBnB,1,1.1519999816300697e-06,
GurobiSolver,1,2.537000000302214e-06,
CombinatorialBnB,1,1.2339999102550792e-06,
GurobiSolver,1,3.3510000321257394e-06,
CombinatorialBnB,1,1.2479999895731453e-06,
GurobiSolver,1,1.209000060953258e-06,
CombinatorialBnB,1,8.480000133204157e-07,
GurobiSolver,1,1.7969999817069038e-06,
CombinatorialBnB,1,1.7190000107802916e-06,
GurobiSolver,1,1.5810001059435308e-06,
CombinatorialBnB,1,1.6949999235293944e-06,
GurobiSolver,1,1.110999960474146e-06,
CombinatorialBnB,1,8.719999868844752e-07,
GurobiSolver,1,1.3280000530357938e-06,
CombinatorialBnB,1,1.1610000001383014e-06,
GurobiSolver,1,1.006999923447438e-06,
CombinatorialBnB,1,9.629999340177164e-07,
GurobiSolver,1,1.10500002392655e-06,
CombinatorialBnB,1,9.520000503471238e-07,
GurobiSolver,1,1.1450000556578743e-06,
CombinatorialBnB,1,1.249999968422344e-06,
GurobiSolver,1,1.1679999261104967e-06,
CombinatorialBnB,1,9.700000873635872e-07,
GurobiSolver,1,1.0349999683967326e-06,
CombinatorialBnB,1,8.329999445777503e-07,
GurobiSolver,1,1.2780000133716385e-06,
CombinatorialBnB,1,1.2700000979748438e-06,
GurobiSolver,1,1.0080000265588751e-06,
CombinatorialBnB,1,8.93999981599336e-07,
GurobiSolver,1,8.800000159681076e-07,
CombinatorialBnB,1,9.650000265537528e-07,
GurobiSolver,1,9.000000318337698e-07,
CombinatorialBnB,1,8.640000714876805e-07,
GurobiSolver,1,1.0649999921952258e-06,
CombinatorialBnB,1,9.410000529896934e-07,
GurobiSolver,1,9.83999939307978e-07,
CombinatorialBnB,1,9.590000900061568e-07,
GurobiSolver,1,1.0080000265588751e-06,
CombinatorialBnB,1,1.0019999763244414e-06,
GurobiSolver,1,1.2430000424501486e-06,
CombinatorialBnB,1,9.150001005764352e-07,
GurobiSolver,1,1.8559999261924531e-06,
CombinatorialBnB,1,1.25599990496994e-06,
GurobiSolver,1,1.2859999287684332e-06,
CombinatorialBnB,1,1.5440000424860045e-06,
GurobiSolver,1,2.912000013566285e-06,
CombinatorialBnB,1,1.988999997593055e-06,
GurobiSolver,1,1.142999963121838e-06,
CombinatorialBnB,1,8.340000476891873e-07,
GurobiSolver,1,9.290000662076636e-07,
CombinatorialBnB,1,1.3940000371803762e-06,
GurobiSolver,1,1.7380000372213544e-06,
CombinatorialBnB,1,1.1140000424347818e-06,
GurobiSolver,1,1.6019999975469545e-06,
CombinatorialBnB,1,8.170000000973232e-07,
GurobiSolver,1,1.1810000160039635e-06,
CombinatorialBnB,1,1.3260000741865952e-06,
GurobiSolver,1,1.4270000292526674e-06,
CombinatorialBnB,1,1.4679999367217533e-06,
GurobiSolver,1,1.5040000107546803e-06,
CombinatorialBnB,1,8.369999022761476e-07,
GurobiSolver,1,9.770000133357826e-07,
CombinatorialBnB,1,2.43900001350994e-06,
GurobiSolver,1,2.213000016126898e-06,
CombinatorialBnB,1,1.1319999657644075e-06,
GurobiSolver,1,1.2970000398127013e-06,
CombinatorialBnB,1,9.499999578110874e-07,
GurobiSolver,1,1.0759999895526562e-06,
CombinatorialBnB,1,9.039999895321671e-07,
GurobiSolver,1,3.0209999977159896e-06,
CombinatorialBnB,1,1.2229999128976488e-06,
GurobiSolver,1,1.0899999551838846e-06,
CombinatorialBnB,1,9.609999551685178e-07,
GurobiSolver,1,9.830000635702163e-07,
CombinatorialBnB,1,8.770000476943096e-07,
GurobiSolver,1,1.0989999736921163e-06,
CombinatorialBnB,1,1.4140000530460384e-06,
GurobiSolver,1,1.2450000212993473e-06,
CombinatorialBnB,1,9.299999419454252e-07,
GurobiSolver,1,1.0829999155248515e-06,
CombinatorialBnB,1,8.570000318286475e-07,
GurobiSolver,1,1.742999984344351e-06,
