solver,jobs,elapsed,error
CombinatorialBnB,20,9.479999789618887e-07,
GurobiSolver,20,3.045000084966887e-06,
CombinatorialBnB,20,2.3610000425833277e-06,
GurobiSolver,20,2.06300001082127e-06,
CombinatorialBnB,20,1.8400000953988638e-06,
GurobiSolver,20,1.3399999261309858e-06,
CombinatorialBnB,20,9.619998309062794e-07,
GurobiSolver,20,1.4050001482246444e-06,
CombinatorialBnB,20,9.559998943586834e-07,
GurobiSolver,20,1.1530000847415067e-06,
CombinatorialBnB,20,7.640001058462076e-07,
GurobiSolver,20,2.2120002540759742e-06,
CombinatorialBnB,20,1.020999661704991e-06,
GurobiSolver,20,1.0470002962392755e-06,
CombinatorialBnB,20,7.369999366346747e-07,
GurobiSolver,20,1.4900001588102896e-06,
CombinatorialBnB,20,1.0869998732232489e-06,
GurobiSolver,20,1.3419999049801845e-06,
CombinatorialBnB,20,7.630001164216083e-07,
GurobiSolver,20,1.7669999579084106e-06,
CombinatorialBnB,20,7.410003490804229e-07,
GurobiSolver,20,1.6470003174617887e-06,
CombinatorialBnB,20,8.179999895219225e-07,
GurobiSolver,20,1.9660001271404326e-06,
CombinatorialBnB,20,2.576000042608939e-06,
GurobiSolver,20,1.03899992609513e-06,
CombinatorialBnB,20,8.869997145666275e-07,
GurobiSolver,20,1.2579998838191386e-06,
CombinatorialBnB,20,8.990000424091704e-07,
GurobiSolver,20,1.2870000318798702e-06,
CombinatorialBnB,20,8.570000318286475e-07,
GurobiSolver,20,1.4840002222626936e-06,
CombinatorialBnB,20,1.168999915535096e-06,
GurobiSolver,20,1.6789999790489674e-06,
CombinatorialBnB,20,7.97999746282585e-07,
GurobiSolver,20,1.7090001165342983e-06,
CombinatorialBnB,20,8.279998837679159e-07,
GurobiSolver,20,2.5690001166367438e-06,
CombinatorialBnB,20,1.9690000954142306e-06,
GurobiSolver,20,1.7279999156016856e-06,
CombinatorialBnB,20,1.0519997886149213e-06,
GurobiSolver,20,1.2840000636060722e-06,
CombinatorialBnB,20,8.030001481529325e-07,
GurobiSolver,20,1.7550000848132186e-06,
CombinatorialBnB,20,8.389997674385086e-07,
GurobiSolver,20,1.455000074201962e-06,
CombinatorialBnB,20,1.2759996934619267e-06,
GurobiSolver,20,1.2040000001434237e-06,
CombinatorialBnB,20,9.069999578059651e-07,
GurobiSolver,20,1.6019998838601168e-06,
CombinatorialBnB,20,9.860000318440143e-07,
GurobiSolver,20,2.4870000743248966e-06,
CombinatorialBnB,20,1.1369997992005665e-06,
GurobiSolver,20,1.8410000848234631e-06,
CombinatorialBnB,20,8.950000847107731e-07,
GurobiSolver,20,1.6349999896192458e-06,
CombinatorialBnB,20,8.909996722650249e-07,
